	berger_parker_d
SRR3108963	0.45137946630483944
SRR3108968	0.5972162185527795
SRR3108969	0.0882512255233865
SRR3108988	0.26793487983779596
SRR3108989	0.4850327484434382
SRR3108991	0.41107919128408044
SRR3108994	0.1590460704607046
SRR3108998	0.028239433359566687
SRR8365816	0.07657518361035949
SRR8365817	0.1474344188387259
SRR8365826	0.14298440057177186
SRR8365827	0.11672774758835672
SRR8365828	0.26052428018908463
SRR8365829	0.043139054612207434
SRR8365832	0.08821093687388133
SRR8365833	0.1518136780365583
SRR8365834	0.07769736109564636
SRR8365849	0.3918194141568928
SRR8365850	0.2805548098434004
SRR8365851	0.27993774220189316
SRR8365852	0.18231342716687104
SRR8365853	0.36910010674339816
SRR8365854	0.1531797513091826
SRR8365855	0.1391772713820657
SRR8365856	0.08183800100620493
SRR8365867	0.1503149211303718
SRR8365868	0.14587009320573766
SRR9660293	0.02005030938435268
SRR9660294	0.0287164275120173
SRR9660295	0.02922534201393868
SRR9660296	0.0350398506498169
SRR9660297	0.028213564091442836
SRR9660298	0.02029547429641019
SRR9660299	0.024398087601569366
SRR9660300	0.04600149618978787
SRR14654853	0.11345646437994723
SRR14654854	0.08431952662721894
SRR14654855	0.048638132295719845
SRR14654856	0.05337690631808279
SRR14654857	0.11522911051212938
SRR14654858	0.10903083700440529
SRR14654859	0.07868525896414343
SRR14654865	0.0795593635250918
SRR14654870	0.1015625
SRR14654871	0.0647279549718574
SRR14654872	0.0650319829424307
SRR14654873	0.12173913043478261
SRR14654874	0.10062893081761007
SRR14654875	0.10761154855643044
SRR14654876	0.1378698224852071
SRR14654877	0.12413793103448276
