	gini_index
SRR3108963	0.9910524270593613
SRR3108968	0.9992976346097466
SRR3108969	0.9678802051926043
SRR3108988	0.9963537586796419
SRR3108989	0.9984825442166991
SRR3108991	0.9994086889307395
SRR3108994	0.9851958299706718
SRR3108998	0.981796492396645
SRR8365816	0.9822983142453826
SRR8365817	0.9949656908271276
SRR8365826	0.9863402323898839
SRR8365827	0.9917863534939012
SRR8365828	0.9930498431569854
SRR8365829	0.9921395723335025
SRR8365832	0.991119530450706
SRR8365833	0.9922334145135393
SRR8365834	0.9821629130693174
SRR8365849	0.9977710984930775
SRR8365850	0.9969631976371741
SRR8365851	0.9956476770844188
SRR8365852	0.9925590409207113
SRR8365853	0.9950306386071391
SRR8365854	0.9960846324411673
SRR8365855	0.9879666723944058
SRR8365856	0.99704025549783
SRR8365867	0.9954241681549079
SRR8365868	0.9942834908430503
SRR9660293	0.9675038953570309
SRR9660294	0.9599467276978363
SRR9660295	0.9684847515082375
SRR9660296	0.974421952134321
SRR9660297	0.982689157855285
SRR9660298	0.9640230822199591
SRR9660299	0.970989235233579
SRR9660300	0.9678129899977554
SRR14654853	0.9984970017067947
SRR14654854	0.9984438249544249
SRR14654855	0.9972387870504072
SRR14654856	0.9958640680068062
SRR14654857	0.9968433988288015
SRR14654858	0.9981120201384519
SRR14654859	0.9975406231926085
SRR14654865	0.9982626231376112
SRR14654870	0.9980948647164248
SRR14654871	0.9982499757844981
SRR14654872	0.9981441745262406
SRR14654873	0.9985798995050662
SRR14654874	0.9982491601590125
SRR14654875	0.9985133889829939
SRR14654876	0.9970440542242678
SRR14654877	0.998702744944808
