	dominance
SRR3108963	0.20763028940655062
SRR3108968	0.3836202973762275
SRR3108969	0.011527532896788427
SRR3108988	0.12967836288140705
SRR3108989	0.2531647417288446
SRR3108991	0.28054557820410686
SRR3108994	0.039595666424306515
SRR3108998	0.004905840755258771
SRR8365816	0.01042597643246811
SRR8365817	0.04416446885879148
SRR8365826	0.027945176633243238
SRR8365827	0.02344994882804449
SRR8365828	0.07998435879768688
SRR8365829	0.01095927773159499
SRR8365832	0.020939063322838763
SRR8365833	0.039479106702550976
SRR8365834	0.011577358483641886
SRR8365849	0.1709892134610722
SRR8365850	0.12358941573202407
SRR8365851	0.09740346482276283
SRR8365852	0.045483184103549956
SRR8365853	0.15044907917091935
SRR8365854	0.05998695846224801
SRR8365855	0.026682275121454605
SRR8365856	0.028947220476295644
SRR8365867	0.06293729931793944
SRR8365868	0.044357431081184395
SRR9660293	0.0037066734920486225
SRR9660294	0.0030999569186180007
SRR9660295	0.0043023216413991105
SRR9660296	0.005568198854731502
SRR9660297	0.006154088549041094
SRR9660298	0.003225621565581393
SRR9660299	0.0038046254987652204
SRR9660300	0.0071787627841710736
SRR14654853	0.04600357836550846
SRR14654854	0.03925370260144954
SRR14654855	0.020846265651258914
SRR14654856	0.01603134596854961
SRR14654857	0.02863154873911116
SRR14654858	0.035480020959071594
SRR14654859	0.02586863700576181
SRR14654865	0.03494739239148511
SRR14654870	0.03699228714923469
SRR14654871	0.03352822530967409
SRR14654872	0.03236482831047322
SRR14654873	0.04681739130434783
SRR14654874	0.03899054626003719
SRR14654875	0.04466075598817864
SRR14654876	0.03370470221630896
SRR14654877	0.049881569560047564
