	lladser_pe
SRR3108963	0.0012277456634926858
SRR3108968	0.00045351051554076016
SRR3108969	0.0013659001767862046
SRR3108988	0.0005326872565215233
SRR3108989	0.00034215471944851373
SRR3108991	0.0005168051487491044
SRR3108994	0.0011138414342348028
SRR3108998	0.002393607213506096
SRR8365816	0.000319820310464683
SRR8365817	0.00024468805850814485
SRR8365826	0.0009920711239182688
SRR8365827	0.0009334058415683275
SRR8365828	0.0004399105784545885
SRR8365829	0.0009421274418910055
SRR8365832	0.0006103680039745357
SRR8365833	0.0008578151035610757
SRR8365834	0.0007726212213019176
SRR8365849	0.0011501824168326598
SRR8365850	0.0004906286186162301
SRR8365851	0.0007425408606937481
SRR8365852	0.00023145070382527095
SRR8365853	0.0002918331942717907
SRR8365854	0.00041188081376332506
SRR8365855	0.0003788121035829297
SRR8365856	0.0032691303222138904
SRR8365867	0.00021668739714959757
SRR8365868	0.0004125634236954052
SRR9660293	0.006096127971585724
SRR9660294	0.002746304366421733
SRR9660295	0.0012887297057301516
SRR9660296	0.002712871514278005
SRR9660297	0.0005083516744037553
SRR9660298	0.001529271924295668
SRR9660299	0.0021356997782398255
SRR9660300	0.0018030921799526926
SRR14654853	0.017583488523622254
SRR14654854	0.03140515345758389
SRR14654855	0.020619110123059132
SRR14654856	0.009572129315135434
SRR14654857	0.01857814837823648
SRR14654858	0.027554343079067928
SRR14654859	0.016219276614653708
SRR14654865	0.0369788835675122
SRR14654870	0.020728993406818077
SRR14654871	0.017146982656792903
SRR14654872	0.020035412339608854
SRR14654873	0.03273495634923284
SRR14654874	0.019173147237635982
SRR14654875	0.045541629180621546
SRR14654876	0.009625940356571747
SRR14654877	0.021305757840845003
