	mcintosh_e
SRR3108963	0.46341967946058843
SRR3108968	0.6210532197545834
SRR3108969	0.11004419264185
SRR3108988	0.3635632404547737
SRR3108989	0.5056242201614262
SRR3108991	0.5310375631837705
SRR3108994	0.20310366805701646
SRR3108998	0.07247411668678456
SRR8365816	0.10341483860436573
SRR8365817	0.21129656071456324
SRR8365826	0.16992798833324801
SRR8365827	0.15580494594928393
SRR8365828	0.28556391205417414
SRR8365829	0.10639549768412733
SRR8365832	0.14679747236052657
SRR8365833	0.20082049983361092
SRR8365834	0.10969403473431595
SRR8365849	0.4179421649168996
SRR8365850	0.3539026927265873
SRR8365851	0.31587788916167925
SRR8365852	0.21478759007235018
SRR8365853	0.39081596669658025
SRR8365854	0.24685877016295824
SRR8365855	0.16489699574962985
SRR8365856	0.1738409757185775
SRR8365867	0.2522877110663205
SRR8365868	0.21250000659352972
SRR9660293	0.06296217805660062
SRR9660294	0.057711971366695564
SRR9660295	0.0673121848805047
SRR9660296	0.07663852529118587
SRR9660297	0.07927657903988657
SRR9660298	0.0582892823811165
SRR9660299	0.0637481102506118
SRR9660300	0.08690608559416717
SRR14654853	0.23027015790405492
SRR14654854	0.21462159729527683
SRR14654855	0.15772345834170293
SRR14654856	0.1369019364254401
SRR14654857	0.18235183061387944
SRR14654858	0.20191840602500924
SRR14654859	0.174754419963504
SRR14654865	0.20121752713965219
SRR14654870	0.20837047681697743
SRR14654871	0.19440857609212336
SRR14654872	0.19373235619419313
SRR14654873	0.23650877140611126
SRR14654874	0.21473528134302636
SRR14654875	0.22679697583099406
SRR14654876	0.19661433840883333
SRR14654877	0.23811020980396458
