	robbins
SRR3108963	0.0007462686567164179
SRR3108968	0.0001152704533010576
SRR3108969	0.0014218779622457546
SRR3108988	0.0004373148865962987
SRR3108989	0.00016172070833670252
SRR3108991	0.00010840695972681446
SRR3108994	0.001040650406504065
SRR3108998	0.0011573538262117495
SRR8365816	0.00023192887514495556
SRR8365817	7.339218687747699e-05
SRR8365826	0.0002485964657869114
SRR8365827	0.00016849909431736806
SRR8365828	0.00013751611516974645
SRR8365829	0.0002753556677374943
SRR8365832	0.00013357198194106803
SRR8365833	9.490727559174687e-05
SRR8365834	0.0004008462309319675
SRR8365849	0.00017681381505274944
SRR8365850	3.579418344519015e-05
SRR8365851	0.00031764182707578933
SRR8365852	7.596392798619627e-05
SRR8365853	0.00017017063473646757
SRR8365854	6.465099239273323e-05
SRR8365855	0.00013021604024859425
SRR8365856	0.0001677008217340265
SRR8365867	3.344295189788752e-05
SRR8365868	8.303406472505345e-05
SRR9660293	0.0034886069441639276
SRR9660294	0.0021622201175818872
SRR9660295	0.0014196805001864226
SRR9660296	0.0021540891792920227
SRR9660297	0.00024331157634165177
SRR9660298	0.0013637275218931746
SRR9660299	0.0021225049846707975
SRR9660300	0.0015595876602381225
SRR14654853	0.0
SRR14654854	0.0
SRR14654855	0.0
SRR14654856	0.0
SRR14654857	0.0
SRR14654858	0.0
SRR14654859	0.0
SRR14654865	0.0
SRR14654870	0.0
SRR14654871	0.0
SRR14654872	0.0
SRR14654873	0.0
SRR14654874	0.0
SRR14654875	0.0
SRR14654876	0.0
SRR14654877	0.0
