	simpson
SRR3108963	0.7923697105934494
SRR3108968	0.6163797026237725
SRR3108969	0.9884724671032116
SRR3108988	0.8703216371185929
SRR3108989	0.7468352582711554
SRR3108991	0.7194544217958931
SRR3108994	0.9604043335756934
SRR3108998	0.9950941592447412
SRR8365816	0.9895740235675319
SRR8365817	0.9558355311412086
SRR8365826	0.9720548233667567
SRR8365827	0.9765500511719555
SRR8365828	0.9200156412023132
SRR8365829	0.989040722268405
SRR8365832	0.9790609366771612
SRR8365833	0.960520893297449
SRR8365834	0.9884226415163582
SRR8365849	0.8290107865389278
SRR8365850	0.8764105842679759
SRR8365851	0.9025965351772371
SRR8365852	0.9545168158964501
SRR8365853	0.8495509208290807
SRR8365854	0.940013041537752
SRR8365855	0.9733177248785454
SRR8365856	0.9710527795237044
SRR8365867	0.9370627006820605
SRR8365868	0.9556425689188156
SRR9660293	0.9962933265079513
SRR9660294	0.996900043081382
SRR9660295	0.9956976783586009
SRR9660296	0.9944318011452685
SRR9660297	0.9938459114509589
SRR9660298	0.9967743784344186
SRR9660299	0.9961953745012347
SRR9660300	0.9928212372158289
SRR14654853	0.9539964216344915
SRR14654854	0.9607462973985504
SRR14654855	0.9791537343487411
SRR14654856	0.9839686540314504
SRR14654857	0.9713684512608889
SRR14654858	0.9645199790409285
SRR14654859	0.9741313629942382
SRR14654865	0.9650526076085149
SRR14654870	0.9630077128507653
SRR14654871	0.966471774690326
SRR14654872	0.9676351716895267
SRR14654873	0.9531826086956522
SRR14654874	0.9610094537399628
SRR14654875	0.9553392440118214
SRR14654876	0.966295297783691
SRR14654877	0.9501184304399525
